username,anime_id,anime_title,status,score,num_episodes_watched,updated_at,user_id,time_diff
Aizycran,10379,Natsume Yuujinchou San,completed,10,13,2012-10-30 17:53:26+00:00,573,176 days 00:17:09
Aizycran,11665,Natsume Yuujinchou Shi,completed,10,13,2012-10-30 17:53:37+00:00,573,0 days 00:00:11
Aizycran,8086,Densetsu no Yuusha no Densetsu,completed,7,24,2012-12-30 13:08:27+00:00,573,0 days 00:00:08
Aizycran,1689,Byousoku 5 Centimeter,completed,6,3,2012-12-30 13:21:45+00:00,573,0 days 00:13:18
Aizycran,4192,Hayate no Gotoku!!,completed,9,25,2013-02-08 19:48:30+00:00,573,1 days 23:53:18
Aizycran,136,Hunter x Hunter,completed,9,62,2013-06-01 17:39:44+00:00,573,29 days 20:24:35
Aizycran,137,Hunter x Hunter: Original Video Animation,completed,9,8,2013-06-01 17:39:53+00:00,573,0 days 00:00:09
Aizycran,139,Hunter x Hunter: Greed Island Final,completed,9,14,2013-06-01 17:40:03+00:00,573,0 days 00:00:10
Aizycran,138,Hunter x Hunter: Greed Island,completed,9,8,2013-06-01 17:40:10+00:00,573,0 days 00:00:07
Aizycran,356,Fate/stay night,completed,7,24,2013-06-01 17:41:39+00:00,573,0 days 00:01:29
Aizycran,20,Naruto,completed,8,220,2013-06-01 17:43:35+00:00,573,0 days 00:01:56
Aizycran,11771,Kuroko no Basket,completed,6,25,2013-07-13 19:57:27+00:00,573,42 days 02:13:52
Aizycran,4182,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,completed,6,1,2013-07-13 19:58:46+00:00,573,0 days 00:00:27
Aizycran,4551,Hakushaku to Yousei,completed,6,12,2013-07-13 20:00:40+00:00,573,0 days 00:00:07
Aizycran,5341,Ookami to Koushinryou II,completed,6,12,2013-07-13 20:00:48+00:00,573,0 days 00:00:08
Aizycran,7193,Aoi Bungaku Series,completed,6,12,2013-07-13 20:00:53+00:00,573,0 days 00:00:05
Aizycran,7338,Darker than Black: Kuro no Keiyakusha Gaiden,completed,6,4,2013-07-13 20:01:14+00:00,573,0 days 00:00:15
Aizycran,322,Paradise Kiss,completed,6,12,2013-07-13 20:01:20+00:00,573,0 days 00:00:06
Aizycran,5081,Bakemonogatari,completed,6,15,2013-07-13 20:04:12+00:00,573,0 days 00:02:52
Aizycran,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,completed,6,11,2013-07-13 20:04:23+00:00,573,0 days 00:00:11
Aizycran,30,Shinseiki Evangelion,completed,9,26,2013-08-24 20:23:01+00:00,573,29 days 01:27:51
Aizycran,14513,Magi: The Labyrinth of Magic,completed,8,25,2013-12-01 21:02:10+00:00,573,99 days 00:39:09
Aizycran,457,Mushishi,completed,9,26,2014-01-13 15:43:51+00:00,573,0 days 00:00:50
Aizycran,14075,Zetsuen no Tempest,completed,6,24,2014-01-23 19:10:43+00:00,573,10 days 03:26:52
Aizycran,918,Gintama,completed,10,201,2014-04-06 17:41:35+00:00,573,21 days 00:17:27
Aizycran,9969,Gintama',completed,10,51,2014-05-01 19:16:23+00:00,573,25 days 01:34:48
Aizycran,15417,Gintama': Enchousen,completed,10,13,2014-05-01 19:16:51+00:00,573,0 days 00:00:28
Aizycran,7472,Gintama Movie 1: Shinyaku Benizakura-hen,completed,10,1,2014-05-01 19:17:07+00:00,573,0 days 00:00:16
Aizycran,18115,Magi: The Kingdom of Magic,completed,9,25,2014-05-24 19:23:16+00:00,573,23 days 00:06:09
Aizycran,9941,Tiger & Bunny,completed,7,25,2014-05-24 19:24:27+00:00,573,0 days 00:01:11
Aizycran,45,Rurouni Kenshin: Meiji Kenkaku Romantan,completed,8,94,2014-05-28 18:48:55+00:00,573,3 days 23:24:28
Aizycran,150,Blood+,completed,6,50,2014-06-01 09:00:02+00:00,573,3 days 14:11:07
Aizycran,21939,Mushishi Zoku Shou,completed,9,10,2014-06-22 17:26:34+00:00,573,21 days 08:26:32
Aizycran,21603,Mekakucity Actors,completed,7,12,2014-07-06 12:55:47+00:00,573,13 days 19:29:13
Aizycran,22145,Kuroshitsuji: Book of Circus,completed,7,10,2014-09-18 10:22:08+00:00,573,73 days 21:26:21
Aizycran,27821,Fate/stay night: Unlimited Blade Works Prologue,completed,6,1,2014-10-30 19:54:59+00:00,573,42 days 09:32:51
Aizycran,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,completed,10,1,2014-12-27 19:35:44+00:00,573,57 days 23:40:45
Aizycran,22297,Fate/stay night: Unlimited Blade Works,completed,6,12,2014-12-28 19:23:54+00:00,573,0 days 23:48:10
Aizycran,11741,Fate/Zero 2nd Season,completed,8,12,2015-01-18 18:21:53+00:00,573,0 days 02:04:31
Aizycran,23199,Durarara!!x2 Shou,completed,8,12,2015-04-03 15:14:19+00:00,573,70 days 18:53:26
Aizycran,28223,Death Parade,completed,7,12,2015-08-07 20:52:36+00:00,573,35 days 05:47:03
Aizycran,27831,Durarara!!x2 Ten,completed,7,12,2015-10-03 18:11:57+00:00,573,6 days 07:38:20
Aizycran,30276,One Punch Man,completed,6,12,2015-12-30 16:09:45+00:00,573,8 days 20:15:37
Aizycran,10161,No.6,completed,7,11,2016-01-16 22:28:02+00:00,573,0 days 00:01:28
Aizycran,14467,K,completed,6,13,2016-01-16 22:28:43+00:00,573,0 days 00:00:41
Aizycran,20583,Haikyuu!!,completed,9,25,2016-02-04 17:13:10+00:00,573,18 days 18:44:27
Aizycran,31043,Boku dake ga Inai Machi,completed,8,12,2016-03-28 19:10:35+00:00,573,53 days 01:57:25
Aizycran,27833,Durarara!!x2 Ketsu,completed,8,12,2016-03-28 19:10:59+00:00,573,0 days 00:00:24
Aizycran,28891,Haikyuu!! Second Season,completed,8,25,2016-03-28 19:11:21+00:00,573,0 days 00:00:22
Aizycran,28977,Gintama°,completed,10,51,2016-03-30 17:31:24+00:00,573,1 days 22:20:03
Aizycran,24439,Kekkai Sensen,completed,6,12,2016-06-07 21:55:52+00:00,573,69 days 04:24:28
Aizycran,31964,Boku no Hero Academia,completed,10,13,2016-06-28 18:17:35+00:00,573,20 days 20:21:43
Aizycran,30015,ReLIFE,completed,7,13,2016-07-10 10:47:46+00:00,573,11 days 16:30:11
Aizycran,28805,Bakemono no Ko,completed,10,1,2016-07-24 21:50:14+00:00,573,0 days 09:08:25
Aizycran,10408,Hotarubi no Mori e,completed,9,1,2016-07-25 19:15:36+00:00,573,0 days 21:25:22
Aizycran,32998,91 Days,completed,7,12,2016-10-01 21:14:32+00:00,573,68 days 01:58:56
Aizycran,3785,Evangelion Movie 3: Q,completed,8,1,2016-10-06 19:56:03+00:00,573,4 days 22:41:18
Aizycran,2759,Evangelion Movie 1: Jo,completed,9,1,2016-10-16 14:11:48+00:00,573,9 days 18:15:45
Aizycran,3784,Evangelion Movie 2: Ha,completed,8,1,2016-10-16 14:11:58+00:00,573,0 days 00:00:10
Aizycran,32995,Yuri!!! on Ice,completed,6,12,2016-12-27 19:31:18+00:00,573,47 days 00:42:27
Aizycran,32281,Kimi no Na wa.,completed,8,1,2016-12-27 22:28:44+00:00,573,0 days 02:57:26
Aizycran,30503,Noragami Aragoto,completed,10,13,2017-02-10 21:40:14+00:00,573,40 days 04:11:40
Aizycran,20767,Noragami OVA,completed,8,2,2017-02-10 21:40:31+00:00,573,0 days 00:00:09
Aizycran,31580,Ajin,completed,8,13,2017-02-23 19:31:12+00:00,573,12 days 21:50:41
Aizycran,33253,Ajin Part 2,completed,8,13,2017-02-25 20:36:15+00:00,573,2 days 01:05:03
Aizycran,32867,Bungou Stray Dogs 2nd Season,completed,7,12,2017-07-17 12:16:06+00:00,573,90 days 18:34:35
Aizycran,34933,Kakegurui,completed,6,12,2017-09-24 20:34:46+00:00,573,68 days 02:14:17
Aizycran,355,Shakugan no Shana,completed,7,24,2017-09-29 22:47:30+00:00,573,5 days 02:12:44
Aizycran,20507,Noragami,completed,9,12,2017-09-29 22:48:51+00:00,573,0 days 00:00:15
Aizycran,64,Rozen Maiden,completed,7,12,2017-09-29 22:50:58+00:00,573,0 days 00:02:07
Aizycran,65,Rozen Maiden: Träumend,completed,7,12,2017-09-29 22:51:08+00:00,573,0 days 00:00:10
Aizycran,12355,Ookami Kodomo no Ame to Yuki,completed,6,1,2017-09-29 22:57:52+00:00,573,0 days 00:06:44
Aizycran,33486,Boku no Hero Academia 2nd Season,completed,10,25,2017-09-30 21:56:33+00:00,573,0 days 22:58:41
Aizycran,34599,Made in Abyss,completed,8,13,2017-10-04 19:51:04+00:00,573,3 days 21:54:31
Aizycran,1604,Katekyou Hitman Reborn!,completed,10,203,2017-10-28 18:32:51+00:00,573,23 days 22:41:47
Aizycran,28725,Kokoro ga Sakebitagatterunda.,completed,8,1,2017-12-17 21:07:12+00:00,573,50 days 02:34:21
Aizycran,13601,Psycho-Pass,completed,6,22,2017-12-20 16:43:06+00:00,573,2 days 19:35:54
Aizycran,34451,Kekkai Sensen & Beyond,completed,6,12,2017-12-29 19:57:26+00:00,573,0 days 00:01:00
Aizycran,4898,Kuroshitsuji,completed,6,24,2017-12-30 16:37:31+00:00,573,0 days 20:40:05
Aizycran,6707,Kuroshitsuji II,completed,6,12,2017-12-30 16:37:42+00:00,573,0 days 00:00:11
Aizycran,27899,Tokyo Ghoul √A,completed,8,12,2018-04-05 09:16:23+00:00,573,7 days 18:15:55
Aizycran,22319,Tokyo Ghoul,completed,8,12,2018-04-05 09:21:17+00:00,573,0 days 00:04:54
Aizycran,34881,Aho Girl,completed,7,12,2018-05-09 20:00:54+00:00,573,33 days 23:42:12
Aizycran,4081,Natsume Yuujinchou,completed,10,13,2018-05-26 20:20:46+00:00,573,17 days 00:19:52
Aizycran,5300,Zoku Natsume Yuujinchou,completed,10,13,2018-05-26 20:20:58+00:00,573,0 days 00:00:12
Aizycran,36511,Tokyo Ghoul:re,completed,8,12,2018-06-25 13:31:45+00:00,573,0 days 00:00:32
Aizycran,28677,Yamada-kun to 7-nin no Majo,completed,8,12,2018-06-26 21:32:23+00:00,573,1 days 08:00:38
Aizycran,23289,Gekkan Shoujo Nozaki-kun,completed,10,12,2018-06-26 21:33:11+00:00,573,0 days 00:00:48
Aizycran,35968,Wotaku ni Koi wa Muzukashii,completed,8,11,2018-06-30 21:12:23+00:00,573,3 days 23:39:12
Aizycran,28851,Koe no Katachi,completed,10,1,2019-03-18 21:24:27+00:00,573,0 days 01:25:54
Aizycran,36649,Banana Fish,completed,10,24,2019-03-18 21:27:14+00:00,573,0 days 00:02:47
Aizycran,3092,Junjou Romantica,completed,10,12,2019-03-22 20:05:22+00:00,573,3 days 22:38:08
Aizycran,37086,Kakegurui××,completed,6,12,2019-03-30 13:00:51+00:00,573,7 days 16:55:29
Aizycran,37779,Yakusoku no Neverland,completed,6,12,2019-03-30 13:01:38+00:00,573,0 days 00:00:47
Aizycran,437,Perfect Blue,completed,7,1,2019-05-09 20:57:18+00:00,573,25 days 01:04:37
Aizycran,37520,Dororo,completed,10,24,2019-06-24 19:22:51+00:00,573,45 days 03:08:49
Aizycran,32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,completed,7,10,2019-06-26 18:11:47+00:00,573,0 days 11:39:59
Aizycran,1827,Seirei no Moribito,completed,8,26,2019-06-30 01:37:41+00:00,573,3 days 07:25:54
Aizycran,10721,Mawaru Penguindrum,completed,9,24,2019-09-05 08:04:57+00:00,573,56 days 09:10:24
Aizycran,35557,Houseki no Kuni,completed,10,12,2019-12-14 16:10:51+00:00,573,29 days 04:56:00
Aizycran,37521,Vinland Saga,completed,6,24,2020-02-14 15:38:20+00:00,573,32 days 17:18:52
Aizycran,41587,Boku no Hero Academia 5th Season,completed,7,25,2023-01-19 10:14:35+00:00,573,63 days 12:00:49
Aizycran,36456,Boku no Hero Academia 3rd Season,completed,7,25,2023-01-24 10:00:38+00:00,573,3 days 16:59:23
Aizycran,38408,Boku no Hero Academia 4th Season,completed,7,25,2023-01-24 10:00:49+00:00,573,0 days 00:00:11
Aizycran,32902,Mahoutsukai no Yome: Hoshi Matsu Hito,completed,6,3,2023-01-24 11:59:30+00:00,573,0 days 00:34:01
Aizycran,239,Gankutsuou,completed,6,24,2023-05-01 15:43:05+00:00,573,95 days 01:43:09
Aizycran,22535,Kiseijuu: Sei no Kakuritsu,completed,10,24,2023-05-28 12:28:19+00:00,573,26 days 20:45:14
Aizycran,41025,Fumetsu no Anata e,completed,6,20,2023-05-28 21:26:10+00:00,573,0 days 08:57:51
Aizycran,53393,Tengoku Daimakyou,completed,9,13,2023-07-01 20:00:14+00:00,573,33 days 22:34:04
Aizycran,52034,"""Oshi no Ko""",completed,6,11,2023-07-23 13:59:40+00:00,573,21 days 17:59:26
Alchemist_Senpai,42249,Tokyo Revengers,completed,9,24,2022-02-19 19:01:01+00:00,688,
Alchemist_Senpai,2966,Ookami to Koushinryou,completed,9,13,2022-02-19 19:01:12+00:00,688,0 days 00:00:11
Alchemist_Senpai,1735,Naruto: Shippuuden,completed,9,500,2022-02-19 19:02:24+00:00,688,0 days 00:01:12
Alchemist_Senpai,20,Naruto,completed,9,220,2022-02-19 19:05:42+00:00,688,0 days 00:03:18
Alchemist_Senpai,39535,Mushoku Tensei: Isekai Ittara Honki Dasu,completed,9,11,2022-02-19 19:06:26+00:00,688,0 days 00:00:44
Alchemist_Senpai,45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,completed,9,12,2022-02-19 19:06:33+00:00,688,0 days 00:00:07
Alchemist_Senpai,11061,Hunter x Hunter (2011),completed,9,148,2022-02-19 19:07:11+00:00,688,0 days 00:00:38
Alchemist_Senpai,37520,Dororo,completed,8,24,2022-02-19 19:08:17+00:00,688,0 days 00:01:06
Alchemist_Senpai,42897,Horimiya,completed,8,13,2022-02-19 19:09:29+00:00,688,0 days 00:01:12
Alchemist_Senpai,47790,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",completed,8,12,2022-02-19 19:10:15+00:00,688,0 days 00:00:46
Alchemist_Senpai,41025,Fumetsu no Anata e,completed,8,20,2022-02-19 19:10:43+00:00,688,0 days 00:00:28
Alchemist_Senpai,9253,Steins;Gate,completed,8,24,2022-02-19 19:12:49+00:00,688,0 days 00:02:06
Alchemist_Senpai,30484,Steins;Gate 0,completed,8,23,2022-02-19 19:13:07+00:00,688,0 days 00:00:18
Alchemist_Senpai,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,completed,8,1,2022-02-19 19:13:27+00:00,688,0 days 00:00:20
Alchemist_Senpai,10863,Steins;Gate: Oukoubakko no Poriomania,completed,8,1,2022-02-19 19:13:42+00:00,688,0 days 00:00:15
Alchemist_Senpai,40938,Hige wo Soru. Soshite Joshikousei wo Hirou.,completed,8,13,2022-02-19 19:14:56+00:00,688,0 days 00:01:01
Alchemist_Senpai,195,Onegai☆Teacher,completed,8,12,2022-02-19 19:15:26+00:00,688,0 days 00:00:30
Alchemist_Senpai,35760,Shingeki no Kyojin Season 3,completed,8,12,2022-02-20 00:37:01+00:00,688,0 days 05:21:16
Alchemist_Senpai,38524,Shingeki no Kyojin Season 3 Part 2,completed,8,10,2022-02-20 00:37:06+00:00,688,0 days 00:00:05
Alchemist_Senpai,40028,Shingeki no Kyojin: The Final Season,completed,8,16,2022-02-20 00:37:22+00:00,688,0 days 00:00:16
Alchemist_Senpai,25781,Shingeki no Kyojin: Kuinaki Sentaku,completed,7,2,2022-02-20 00:37:50+00:00,688,0 days 00:00:28
Alchemist_Senpai,22199,Akame ga Kill!,completed,8,24,2022-02-20 00:38:08+00:00,688,0 days 00:00:18
Alchemist_Senpai,6547,Angel Beats!,completed,8,13,2022-02-20 00:38:24+00:00,688,0 days 00:00:16
Alchemist_Senpai,35790,Tate no Yuusha no Nariagari,completed,8,25,2022-02-20 00:38:42+00:00,688,0 days 00:00:18
Alchemist_Senpai,199,Sen to Chihiro no Kamikakushi,completed,6,1,2022-02-20 00:39:35+00:00,688,0 days 00:00:53
Alchemist_Senpai,523,Tonari no Totoro,completed,7,1,2022-02-20 00:41:31+00:00,688,0 days 00:01:01
Alchemist_Senpai,1535,Death Note,completed,8,37,2022-02-20 00:42:07+00:00,688,0 days 00:00:36
Alchemist_Senpai,1689,Byousoku 5 Centimeter,completed,8,3,2022-02-20 00:42:18+00:00,688,0 days 00:00:11
Alchemist_Senpai,5341,Ookami to Koushinryou II,completed,9,12,2022-02-20 00:42:31+00:00,688,0 days 00:00:13
Alchemist_Senpai,6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,completed,9,1,2022-02-20 00:42:54+00:00,688,0 days 00:00:23
Alchemist_Senpai,6702,Fairy Tail,completed,7,45,2022-02-20 00:43:03+00:00,688,0 days 00:00:09
Alchemist_Senpai,9919,Ao no Exorcist,completed,7,25,2022-02-20 00:43:14+00:00,688,0 days 00:00:11
Alchemist_Senpai,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,completed,8,11,2022-02-20 00:43:39+00:00,688,0 days 00:00:25
Alchemist_Senpai,10087,Fate/Zero,completed,7,13,2022-02-20 00:44:04+00:00,688,0 days 00:00:25
Alchemist_Senpai,10408,Hotarubi no Mori e,completed,6,1,2022-02-20 00:44:22+00:00,688,0 days 00:00:18
Alchemist_Senpai,11741,Fate/Zero 2nd Season,completed,7,12,2022-02-20 00:45:04+00:00,688,0 days 00:00:42
Alchemist_Senpai,11887,Kokoro Connect,completed,7,13,2022-02-20 00:45:24+00:00,688,0 days 00:00:20
Alchemist_Senpai,12189,Hyouka,completed,8,22,2022-02-20 00:45:36+00:00,688,0 days 00:00:12
Alchemist_Senpai,13469,Hyouka: Motsubeki Mono wa,completed,8,1,2022-02-20 00:45:45+00:00,688,0 days 00:00:09
Alchemist_Senpai,14719,JoJo no Kimyou na Bouken (TV),completed,7,26,2022-02-20 00:46:52+00:00,688,0 days 00:00:35
Alchemist_Senpai,14741,Chuunibyou demo Koi ga Shitai!,completed,7,12,2022-02-20 00:47:03+00:00,688,0 days 00:00:11
Alchemist_Senpai,14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,completed,8,13,2022-02-20 00:47:13+00:00,688,0 days 00:00:10
Alchemist_Senpai,16782,Kotonoha no Niwa,completed,7,1,2022-02-20 00:48:14+00:00,688,0 days 00:00:20
Alchemist_Senpai,17895,Golden Time,completed,7,24,2022-02-20 00:48:24+00:00,688,0 days 00:00:10
Alchemist_Senpai,18671,Chuunibyou demo Koi ga Shitai! Ren,completed,7,12,2022-02-20 00:48:35+00:00,688,0 days 00:00:11
Alchemist_Senpai,18753,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,completed,8,1,2022-02-20 00:49:06+00:00,688,0 days 00:00:31
Alchemist_Senpai,19815,No Game No Life,completed,7,12,2022-02-20 00:49:27+00:00,688,0 days 00:00:21
Alchemist_Senpai,20583,Haikyuu!!,completed,7,25,2022-02-20 00:50:17+00:00,688,0 days 00:00:50
Alchemist_Senpai,20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,completed,7,24,2022-02-20 00:50:41+00:00,688,0 days 00:00:24
Alchemist_Senpai,22297,Fate/stay night: Unlimited Blade Works,completed,7,12,2022-02-20 00:51:19+00:00,688,0 days 00:00:38
Alchemist_Senpai,22319,Tokyo Ghoul,completed,8,12,2022-02-20 00:51:31+00:00,688,0 days 00:00:12
Alchemist_Senpai,22535,Kiseijuu: Sei no Kakuritsu,completed,7,24,2022-02-20 00:51:47+00:00,688,0 days 00:00:16
Alchemist_Senpai,23755,Nanatsu no Taizai,completed,7,24,2022-02-20 00:51:57+00:00,688,0 days 00:00:10
Alchemist_Senpai,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,completed,8,13,2022-02-20 00:52:12+00:00,688,0 days 00:00:15
Alchemist_Senpai,25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,completed,7,1,2022-02-20 00:52:22+00:00,688,0 days 00:00:10
Alchemist_Senpai,26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,completed,7,24,2022-02-20 00:52:42+00:00,688,0 days 00:00:20
Alchemist_Senpai,27899,Tokyo Ghoul √A,completed,8,12,2022-02-20 00:52:55+00:00,688,0 days 00:00:13
